name,categories,all_reviews,developer,publisher,day,year,price,popu_tags,url
Among Us,"Online PvP,LAN PvP,Online Co-op,LAN Co-op,Cross-Platform Multiplayer",224878 95,Innersloth,Innersloth,320,2018,4.99,MultiplayerOnline Co-OpSpaceSocial DeductionSurvivalFunny2DCo-opPsychologicalLocal MultiplayerCartoonyCasualIndieSci-fiColorfulMinigamesLocal Co-OpTop-DownPvPAliens,https://store.steampowered.com/app/945360/Among_Us/?snr=1_7_7_230_150_1
Counter-Strike: Global Offensive,"Steam Workshop,In-App Purchases,Stats",4843904 87,"Valve, Hidden Path Entertainment",Valve,234,2012,0,FPSShooterMultiplayerCompetitiveActionTeam-BasedeSportsTacticalFirst-PersonPvPOnline Co-OpCo-opStrategyMilitaryWarDifficultTradingRealisticFast-PacedModdable,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_230_150_1
Fall Guys: Ultimate Knockout,"MMO,Online PvP,Online Co-op,In-App Purchases",223725 80,Mediatonic,Devolver Digital,216,2020,19.99,MultiplayerFunnyBattle RoyaleOnline Co-OpFamily FriendlyComedyParty GameCutePhysicsCasualMassively MultiplayerColorful3D PlatformerIndieCo-opActionControllerGreat SoundtrackDifficultLocal Co-Op,https://store.steampowered.com/app/1097150/Fall_Guys_Ultimate_Knockout/?snr=1_7_7_230_150_1
Crusader Kings III,"Single-player,Online PvP,Steam Workshop,Steam Cloud",18951 92,Paradox Development Studio,Paradox Interactive,245,2020,49.99,StrategyRPGSimulationMedievalGrand StrategyHistoricalSexual ContentMultiplayerSingleplayerPoliticalDating SimWarNuditySandboxChoices MatterCharacter CustomizationReal-Time with PauseModdableManagementGreat Soundtrack,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_230_150_1
Destiny 2,"Single-player,Online PvP,Online Co-op,In-App Purchases",284689 86,Bungie,Bungie ,274,2019,0,Free to PlayLooter ShooterMultiplayerFPSActionOnline Co-OpAdventureMMORPGShooterSci-fiOpen WorldLootSpaceFirst-PersonGreat SoundtrackCo-opLore-RichMassively MultiplayerAtmosphericSingleplayer,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_230_150_1
Hades,"Single-player,Captions available,Steam Cloud",41779 98,Supergiant Games,Supergiant Games,261,2020,24.99,Action RoguelikeActionIndieRPGRogueliteHack and SlashDungeon CrawlerGreat SoundtrackRoguelikeSingleplayerMythologyReplay ValueStory RichIsometricAction RPGDifficultHand-drawnAtmosphericEarly AccessPerma Death,https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_230_150_1
Sea of Thieves,"Online PvP,Online Co-op,Cross-Platform Multiplayer,In-App Purchases",37159 87,Rare Ltd,Xbox Game Studios,155,2020,39.99,AdventureActionMultiplayerPiratesOpen WorldCo-opSailingPvPOnline Co-OpFirst-PersonExplorationFunnyPvENavalMassively MultiplayerAtmosphericSwordplayGreat SoundtrackFPSSingleplayer,https://store.steampowered.com/app/1172620/Sea_of_Thieves/?snr=1_7_7_230_150_1
Tom Clancy's Rainbow Six® Siege,"Single-player,Online PvP,Online Co-op,In-App Purchases",642418 88,Ubisoft Montreal,Ubisoft,335,2015,19.99,FPSHero ShooterMultiplayerTacticalShooterTeam-BasedActionFirst-PersonCompetitiveCo-opStrategyRealisticOnline Co-OpDestructionPhysicsPsychological HorrorAtmosphericSingleplayerMassively MultiplayerCasual,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_230_150_1
Dota 2,Steam Workshop,1380115 84,Valve,Valve,190,2013,0,Free to PlayMOBAMultiplayerStrategyeSportsTeam-BasedCompetitiveActionOnline Co-OpPvPDifficultCo-opRTSTower DefenseFantasyRPGCharacter CustomizationReplay ValueAction RPGSimulation,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_230_150_1
The Elder Scrolls® Online,MMO,69515 82,Zenimax Online Studios,Bethesda Softworks,94,2014,19.99,RPGMMORPGOpen WorldMassively MultiplayerMultiplayerFantasyAdventureFirst-PersonExplorationStory RichThird PersonMagicActionCo-opAtmosphericGreat SoundtrackAction RPGSingleplayerSandboxCharacter Customization,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_230_150_1
Path of Exile,"Single-player,MMO,Online PvP,In-App Purchases",143686 93,Grinding Gear Games,Grinding Gear Games,296,2013,0,Free to PlayAction RPGHack and SlashRPGMultiplayerMassively MultiplayerLootMMORPGActionFantasyAdventureDungeon CrawlerOnline Co-OpIndieCo-opDark FantasyCharacter CustomizationPvEInventory ManagementFishing,https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_230_150_1
Borderlands 3,"Single-player,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Cloud",39702 82,Gearbox Software,2K,73,2020,59.99,RPGActionOnline Co-OpLooter ShooterFPSShooterOpen WorldMultiplayerCo-opLootCo-op CampaignGoreSingleplayerViolentFirst-PersonAdventureNudityGreat SoundtrackEpicComedy,https://store.steampowered.com/app/397540/Borderlands_3/?snr=1_7_7_230_150_1
Dead by Daylight,"Online PvP,Online Co-op,Steam Cloud",274935 82,Behaviour Interactive Inc.,Behaviour Interactive Inc.,166,2016,19.99,HorrorSurvival HorrorMultiplayerOnline Co-OpSurvivalStealthGoreBloodThird PersonCo-opTeam-BasedFirst-PersonViolentActionAtmosphericPsychological HorrorStrategyComedyMatureDifficult,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_230_150_1
Microsoft Flight Simulator,"Single-player,In-App Purchases",14952 72,Asobo Studio,Xbox Game Studios,230,2020,59.99,SimulationFlightOpen WorldMultiplayerRealisticAtmosphericSingleplayerAdventurePhysicsReal-TimeColorfulFamily FriendlyLogicTrackIRLife SimSurrealVRBeautifulAuto BattlerShort,https://store.steampowered.com/app/1250410/Microsoft_Flight_Simulator/?snr=1_7_7_230_150_1
FINAL FANTASY XIV Online,"Single-player,MMO,Online PvP,Online Co-op,Cross-Platform Multiplayer",24626 86,Square Enix,Square Enix,49,2014,19.99,MMORPGRPGMassively MultiplayerFantasyGreat SoundtrackJRPGOpen WorldCharacter CustomizationStory RichAnimeMultiplayerAdventureMagicActionAtmosphericCo-opAction RPGSingleplayerOnline Co-OpFemale Protagonist,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/?snr=1_7_7_230_150_1
Black Desert Online,"MMO,Online PvP,Online Co-op,In-App Purchases",27208 75,Pearl Abyss,Kakao Games Europe B.V.,144,2017,9.99,MMORPGMassively MultiplayerRPGOpen WorldCharacter CustomizationAdventureFantasyActionPvPMultiplayerStrategySandboxSimulationThird PersonHack and SlashCo-opFishingFemale ProtagonistViolentPvE,https://store.steampowered.com/app/582660/Black_Desert_Online/?snr=1_7_7_230_150_1
Metro Exodus,"Single-player,Steam Cloud",27784 85,4A Games,Deep Silver ,45,2019,39.99,Post-apocalypticActionAtmosphericFPSStory RichOpen WorldSingleplayerFirst-PersonSurvivalShooterHorrorAdventureStealthExplorationGreat SoundtrackSurvival HorrorViolentSci-fiPsychological HorrorGore,https://store.steampowered.com/app/412020/Metro_Exodus/?snr=1_7_7_230_150_1
Conan Exiles,"Single-player,Online PvP,Online Co-op,Steam Workshop",41038 77,Funcom,Funcom,128,2018,39.99,SurvivalOpen WorldBuildingNudityCraftingOpen World Survival CraftMultiplayerRPGSandboxMassively MultiplayerActionAdventureOnline Co-OpViolentExplorationSingleplayerPvPCo-opFantasyGore,https://store.steampowered.com/app/440900/Conan_Exiles/?snr=1_7_7_230_150_1
War Thunder,"Single-player,MMO,Cross-Platform Multiplayer,In-App Purchases",178059 80,Gaijin Entertainment,Gaijin Distribution KFT,227,2013,0,Free to PlayWorld War IISimulationMultiplayerWarFlightTanksMilitaryMassively MultiplayerActionRealisticHistoricalShooterTeam-BasedCo-opStrategyArcadeFPSOpen WorldTrackIR,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_230_150_1
